id,name,lastFinancingDate,lastFinancingDealType,lastFinancingDealType2,lastFinancingSize,lastFinancingValuation,lastFinancingStatus,ownershipStatus,financingStatus,financingStatusNote,activeInvestors,acquirers,primaryIndustryCode,description,hqLocation,companyWebsite
587,Sing Together,01-Jan-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,The company raised an undisclosed amount of seed funding from BonAngels Venture Partners in approximately January 2024.,BonAngels Venture Partners,,"Movies, Music and Entertainment","Developer of a virtual reality platform designed to enjoy singing together and enhance the singing experience. The company's platform offers various virtual spaces such as karaoke rooms, concert halls, and solo booths, with continuous upgrades to microphone effects like echo, enabling global karaoke enthusiasts to sing their favorite songs, from the latest hits to old favorites, with people from all over the world.","Seongnam, South Korea",www.singtogether.xyz
588,SkyTrade,01-Jan-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,The company raised an undisclosed amount of pre-seed funding from Modular Capital in 2024.,Modular Capital,,Other Services (B2C Non-Financial),"Operator of an airspace marketplace intended to help property owners receive income from their air rights. The company facilitates active trading and transferring of air rights on its platform to facilitate vertical construction, preserving unobstructed views, and supporting low-altitude drone operations, enabling clients to register, manage, and govern access to airspace over their land and property.","Wilmington, DE",www.sky.trade
589,Somalytics,25-Mar-2024,Seed Round,Series B,,,Announced/In Progress,Privately Held (backing),Venture Capital-Backed,"The company is in the process of raising Series B seed funding on March 25, 2024. Previously, the company raised $1.9 million of Series A seed funding through a combination of equity and SAFE from WRF Capital and Longview Innovation on August 3, 2022.","Longview Innovation, WRF Capital",,Electronic Equipment and Instruments,"Developer of carbon nanotube-based capacitive touch sensors designed to offer improved sensitivity and also improve eye-tracking devices. The company's sensors help to improve and replace existing cameras and sensors used in eye tracking, human-machine interface, wearables and industrial safety, thereby enabling clients to improve the human experience through improved sensors.","Redmond, WA",www.somalytics.com
590,Sorcerics,21-Feb-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding from Devsisters Ventures and Mashup Angels on February 21, 2024.","Devsisters Ventures, Mashup Angels",,Household Appliances,"Developer of command-less smart device automation technology designed to empower people to live more productively by lowering the learning curve of smart devices. The company is designing technology to automate smart devices without the need for commands using vision AI to recognize contextual information, enabling people who are not familiar with technology to easily access smart devices and enjoy AI-powered convenience.","Dover, DE",www.sorcerics.com
591,Soundry AI,01-Apr-2024,Seed Round,Seed Round,,,Announced/In Progress,Privately Held (backing),Accelerator/Incubator Backed,"The company is in the process of raising seed funding from undisclosed investors on April 1, 2024. Previously, the company joined Y Combinator as a part of Winter 2024 Batch on April 4, 2024 and received $500,000 in funding in the form of SAFE notes. The company is being actively tracked by PitchBook.",Y Combinator,,Business/Productivity Software,"Developer of AI text-to-sound generator designed to create studio-quality audio samples. The company's platform offers text-to-sample generation with personalized generations and training data, enabling music producers, sound designers and songwriters to create musical variations.","Seattle, WA",www.soundry.ai
592,Spatial Ape,01-Mar-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,The company raised an undisclosed amount of seed funding from Forum Ventures in approximately 2024.,Forum Ventures,,Software Development Applications,"Devloper of virtual reality software designed to streamline the virtual reality development process. The company's software provides a baseline for rapid VR app development, protects IP, and secures ownership, enabling clients to run program on their servers to create immersive applications.","Canton, GA",www.spatialape.com
593,Sphere (Wilmington),27-Feb-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised seed funding in a deal led by Jump Crypto and The Chernin Group on February 27, 2024. Hudson River Trading and other investors also participated in the round.","Abhay Kumar, Alex Coffman, Anatoly Yakovenko, Big Brain Holdings, Daryl Yeo, Dean Pappas, Diego Ayala, Enes Toglukdemir, Hudson River Trading, Isaac Bauer, Jesse Cohen, Joey Hiller, Jordan Sexton, Jump Crypto, Logan Jastremski, Nick Garfield, Rajiv Gokal, Ravi M, Republic Capital, Robert Kamerschen, Solana Ventures, Steel DAO, Sutter Hill Ventures, The Chernin Group, Tim Hwang, TJ Littlejohn, Tristan Yver",,Financial Software,"Operator of a payments infrastructure company intended to offer easy and efficient payment processes for all business needs. The company's platform offers payment alternatives through comprehensive APIs and a no-code console offering complete services for various payment needs, including currency conversion, B2B transactions, and back-office automation, enabling clients to get compliance, accounting, analytics, tax support, third-party integrations, and developer tools in one system.","Wilmington, DE",www.spherepay.co
594,Spiral Wave,22-Jan-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding from SOSV and IndieBio on January 22, 2024.","IndieBio, SOSV",,Alternative Energy Equipment,"Opertor of a sustainable platform intended to remove atmospheric carbon dioxide at a giga-scale for a clean environment. The company uses plasma technology that not only removes CO2 but also fosters a circular economy and covert it into valuable methanol, helping individuals to mitigate climate change impacts and shape a cleaner and greener world through an innovative approach.","San Francisco, CA",www.spiralwave.io
595,Spring & Mulberry,15-Mar-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding in the combination of convertible and SAFE notes from Fox Ventures, Triangle Tweener Fund and Furthermore Ventures on March 15, 2024.","Fox Ventures, Furthermore Ventures, NC Idea, Triangle Tweener Fund",,Food Products,"Developer of a dessert brand intended to offer healthy sugar-free chocolate and other sugar alternatives. The company offers products made from jammy, complex and delectable fruits which provide ample sweetness, naturally bringing out the richness of cacao, enabling consumers to satisfy their sweet tooth while having healthy food.","Raleigh, NC",www.springandmulberry.com
596,Spry (Business/Productivity Software),29-Mar-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding from Alumni Ventures on March 29, 2024.","Alumni Ventures, H/L Ventures, High Street Equity Partners, Jigsaw Ventures, Matt Marra Ventures & Advisory, Saltwater Capital, Scrappy Capital, Trevor Wright, Upper Deck",,Business/Productivity Software,"Developer of a comprehensive compliance platform designed for athletic organizations. The company's platform streamlines communication and paperwork to automate manual tasks by providing visibility across all teams, coaches, and student-athletes from compliance monitoring to academic support, enabling administrators, coaches, and student-athletes with the tools and workflows needed to meet every organization's needs.","New York, NY",www.spry.so
597,Stoovo,11-Apr-2024,Seed Round,Seed Round,,,Announced/In Progress,Privately Held (backing),Venture Capital-Backed,"The company is in the process of raising seed extension funding on April 11, 2024. Previously, the company raised $5 million of seed funding in a deal led by Bow Capital on December 22, 2021, putting the company's pre-money valuation at $26 million. Watertower Ventures and Locker One Ventures also participated in the round.","500 Global, Alpana Ventures, Bow Capital, Jon Venverloh, Locker One Ventures, Plug and Play Tech Center, Sebastian Dobrincu, Startup Grind, The Social Entrepreneurs Fund, Village Capital, Watertower Ventures, Y Combinator",,Business/Productivity Software,"Developer of an AI (artificial intelligence)-based location intelligence platform intended to improve mobility. The company's platform helps delivery, insurance, mapping, and real estate companies improve their efficiency with enhanced mapping, offering precise geospatial data and insights about properties, such as parking and access locations and indoor navigation.","San Francisco, CA",www.stoovo.com
598,Sunrise AI,10-Jan-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of pre-seed funding in a deal led by AI Fund on January 10, 2024. Other undisclosed investors also participated in the round. The funds will be used to accelerate the development of its AI-driven solutions and reach more underserved and excluded communities in need of fair and accessible financial services.",AI Fund,,Business/Productivity Software,"Provider of artificial intelligence-powered automation software designed to extract insights from unstructured data and automate repetitive tasks. The company's platform offers features such as data extraction from various sources, automation of complex workflows, and real-time reporting, enabling businesses to improve decision-making efficiency and streamline processes across multiple industries.","Palo Alto, CA",www.sunrise.ai
599,Superlinked,18-Mar-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding in a deal led by Index Ventures on March 18, 2024. Firestreak Ventures, Embedding VC, Theory Ventures, 20SALES and other undisclosed investors also participated in the round. The funds will be used to further scale to meet market demand and expand product capabilities.","20SALES, Concept Ventures (London), Embedding VC, Episode 1 Ventures, Firestreak Ventures, Index Ventures, KCP Nominees, MMC Ventures, Outlier Ventures, Theory Ventures, WellFound",,Software Development Applications,"Developer of a real-time personalized search and recommendation platform designed to solve information retrieval. The company's platform is in the emerging vector operations segment of the broader machine learning operations market, helping software developers build products with vector embedding.","San Francisco, CA",www.superlinked.com
600,Synergist Technologies,09-Mar-2024,Seed Round,Seed Round,,,Announced/In Progress,Privately Held (no backing),Pending Transaction (VC),"The company is in the process of raising seed funding in the form of SAFE notes on March 9, 2024. The company is being actively tracked by PitchBook.",,,Business/Productivity Software,"Developer of an audit software designed to provide ethical and effective artificial intelligence utilization. The company's software features allow users to focus on governance, risk management, and business alignment, enabling organizations to understand and manage risk with real-time dashboards.","Boca Raton, FL",www.synergist.technology
601,Synthetic Traffic,01-Feb-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,The company raised an undisclosed amount of pre-seed funding from Baukunst in approximately February 2024.,Baukunst,,Business/Productivity Software,"Operator of the real-time and interactive bot intended to customize the traffic pool of beta testers. The company simulates real user behavior, creates user-generated content, populates the database with useful artifacts, and tests migrations as test code, enabling users to continuously evolve data without user activity and integrate product development workflow.","New York, NY",www.synthetictraffic.com
602,SynthLabs,26-Mar-2024,Spin-Off,,,,Completed,Privately Held (backing),Venture Capital-Backed,The company spun out of EleutherAI in 2024.,"First Spark Ventures, M12",,Other Commercial Services,"Operator of a software development company intended to help a range of companies ensure that their artificial intelligence systems act according to their intentions. The company's product aims to help steer and customize large language models, particularly models that are themselves open source, enabling customers to evaluate large language models on complex topics.","San Francisco, CA",www.synthlabs.ai
603,Syntopa,01-Apr-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,The company raised an undisclosed amount of seed funding from Ponderosa Ventures in approximately April 2024.,Ponderosa Ventures,,Other Agriculture,"Developer of data-driven agriculture biologics technologies designed to power the design and development of agricultural products. The company's technology provides critical insights into how their microbes will survive and thrive in specific soils, enabling farmers to have productive, profitable, and sustainable produce while also reversing climate change.","Alameda, CA",www.syntopa.com
604,T-Medical Group,06-Mar-2024,Seed Round,Seed Round,,,Announced/In Progress,Privately Held (no backing),Pending Transaction (VC),"The company is in the process of raising seed funding from undisclosed investors on March 6, 2024. The company is being actively tracked by PitchBook.",,,Other Healthcare Technology Systems,"Operator of a multichannel digital health technology company intended to build a portfolio of subsidiary businesses. The company takes ownership and operation of virtual and outpatient health centers by harnessing advanced digital health technologies to deliver all-encompassing and convenient healthcare solutions, enabling healthcare providers to streamline processes, reduce errors and improve patient outcomes, all while lowering costs.","Holbrook, NY",www.t-medicalgroup.com
605,Takanock,01-Jan-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,The company raised an undisclosed amount of pre-seed funding from Michigan Rise in approximately January 2024.,Michigan Rise,,Electrical Equipment,"Developer of an electrical technology designed to provide continuity of power for data centers. The company's technology shields behind-the-meter microgrids from radio frequency interference, like solar flares and electromagnetic pulses, enabling organizations in vital sectors like healthcare and defense to backup generators to safeguard mission-essential functions against high-impact events on the nation's electrical grid.","Traverse City, MI",www.takanock.com
606,TANGGapp,06-Feb-2024,Seed Round,Seed Round,,,Announced/In Progress,Privately Held (backing),Venture Capital-Backed,"The company is in the process of raising pre-Series A venture funding on February 6, 2024. Previously, the company raised $2.5 million of seed funding in a deal led by Goodwater Capital, TEN13 and Foxmont Capital Partners on September 5, 2023. North Fifth Asia and Manila Angel Investors Network also participated in the round. The company is being actively tracked by PitchBook.","Bolster Ventures, Brighter Capital, Foxmont Capital Partners, Goodwater Capital, Harvard Innovation Launch Lab, Katrina Razon, Manila Angel Investors Network, MassChallenge, North Fifth Asia, TEN13, Visible Hands",,Financial Software,"Developer of an online payment application platform designed to boost financial inclusion for people in the Philippines who don't have a bank account. The company's application facilitates sending airtime and money home and the receiver in the Philippines to pay bills with the same application, enabling customers to accept, process, and disburse money with its product suite.","Londonderry, VT",www.tanggapp.com
607,The Code Registry,15-Apr-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding from Michael Carter, Michael Sanchez and John Loftus on April 15, 2024. Other undisclosed investors also participated in the round.","John Loftus, Michael Carter, Michael Sanchez",,Software Development Applications,"Developer of an AI-powered code intelligence and analysis platform designed for non-developers. The company's platform offers the creation of an independent IP code vault, in-depth code analysis, and an AI assistant to answer queries, enabling businesses to secure and analyze code.","London, United Kingdom",www.thecoderegistry.com
608,The Pathfinder Spirit,,Merger/Acquisition,,,,Completed,Acquired/Merged (Operating Subsidiary),Formerly VC-backed,"The company was acquired by Stoli Group USA, a subsidiary of SPI Group B.V., on an undisclosed date. Previously, the company raised $3.14 million of seed funding from Stoli Group USA other undisclosed investors on March 8, 2024.",,Stoli Group USA,Beverages,"Producer of beverages intended to offer hemp-based non-alcoholic spirits. The company offers fermented and distilled hemp-based liquid with the intense flavor and aromatic characteristics of a spirit, with no alcohol, enabling customers to enjoy liquids without the harmful effects of alcoholic beverages.","Seattle, WA",www.drinkthepathfinder.com
609,The Yard.gg,01-Mar-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,The company raised seed funding from Scrappy Capital in approximately March 2024.,"Scrappy Capital, Startup Warrior",,Entertainment Software,"Developer of a virtual community playground intended for video gaming in the metaverse. The company's platform includes a virtual defined space where users can meet up with their friends, play any game they want to play, learn and advance, or just have fun and hang out, enabling users to enhance work, play, learning, socialization, dreaming, and reality.","Franklin, IN",www.theyard.gg
610,Threaded (Business/Productivity Software),01-Feb-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,The company raised an undisclosed amount of pre-seed funding in a deal led by Baukunst in approximately February 2024. Other undisclosed investors also participated in the round.,Baukunst,,Business/Productivity Software,"Developer of a manufacturing platform intended to streamline the manufacturing process. The company helps manufacturing teams deliver better products fast and at a cheap cost by providing tools for production planning, scheduling, quality control and data analysis, enabling manufacturers to manage complexity, iterate quickly and continuously improve their processes.","Bozeman, MT",www.threadedmfg.com
611,TraKid,31-Jan-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding in the form of convertible notes from Triangle Tweener Fund on January 31, 2024.","2ndF, Fox Ventures, Triangle Tweener Fund",,Other Hardware,"Developer of a tracking software designed to track kids. The company's platform offers sharing of the real-time location of kids by giving them a wearable tracking device that can track the location of kids indoors and outdoors and creates any alert using a push button which will find the kids, enabling parents to keep track of their children's location when they go out.","Cary, NC",www.trakid.com
612,Trice (Other Financial Services),09-Jan-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding from the Royal Bank of Canada, Jam Fintop Capital, and Diagram Ventures on January 9, 2024. The funds will be used to continue building developer-friendly tools, expanding its engineering team to accelerate the product roadmap, rolling out bank-grade risk and compliance controls, and deepening partnerships and enterprise agreements.","10X Capital, Diagram Ventures, JAM FINTOP, Royal Bank of Canada",,Other Financial Services,"Operator of a financial platform intended to provide instant payment service. The company's product offers various features such as lending, refunds, insurance claims, contractor and gig economy payouts, and other verticals, enabling businesses to have secure and cost-effective money movement that settles every second.","Austin, TX",www.trice.co
613,Trident AI,05-Feb-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding from Entrepreneur First on February 5, 2024.",Entrepreneur First,,Business/Productivity Software,"Developer of a fraud investigation software designed to reduce the number of frauds. The company's software helps businesses to expand their fraud handling capabilities, enabling businesses with an easier remediation path for a false-positive transaction, detection models can flag more transactions, and capture genuine fraud.","London, United Kingdom",www.tridentai.co
614,TripWorks,01-Mar-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,The company raised an undisclosed amount of seed funding from Tech Council Ventures and other undisclosed investors in approximately March 2024.,Tech Council Ventures,,Business/Productivity Software,"Developer of a booking and management platform designed to streamline operations for tours and attractions. The company's platform offers a comprehensive suite of tools for managing online bookings, payments, marketing, and customer relationships, enabling tour operators to automate their workflows, improve efficiency, and increase sales.","Morristown, NJ",www.tripworks.com
615,TuneForte,01-Apr-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,The company raised an undisclosed amount of venture funding from LvlUp Ventures and SPIN Labs in approximately April 2024.,"LvlUp Ventures, SPIN Labs",,Information Services (B2C),"Operator of an application platform to book tickets for live performances. The company platform discovers various artists along the globe with their performances, enabling users to have an immersive experience of an in-person concert online.","San Francisco, CA",www.tuneforte.com
616,Unblock (Environmental Services),05-Mar-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding from FJ Labs on March 5, 2024. Previously, the company raised $23.65 million of venture funding from Crusoe, Pampa Energy, and Petrocuyo on January 31, 2024. Silence VC and other undisclosed investors also participated in the round.","Crusoe, FJ Labs, Pampa Energy, Petrocuyo, Silence VC",,Environmental Services (B2B),"Provider of environmental services intended to reduce carbon emissions. The company eliminates gas flaring by co-locating high energy-intensive computing applications with gas that otherwise would be wasted and transferring it into value for other uses, helping oil companies to reduce carbon footprints and the complexity and cost to be a good environmental steward.","Grand Cayman, Cayman Islands",www.unblock.global
617,Unlocked Labs,01-Jan-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of venture funding in the form of SAFE notes from SOSV and IndieBio on December 18, 2023.","Astanor Ventures, Genesis Consortium, IndieBio, National Institutes of Health, National Science Foundation, Seaside Ventures, SOSV, Wyoming Workforce Development Council",,Pharmaceuticals,"Developer of a probiotic supplement designed to help people detox their bodies. The company is focused on dormant healing powers in symbiotic microbes and their probiotics sequester and biodegrade toxins that cause chronic conditions, enabling consumers to bring down acid levels throughout the body and to provide affordable, accessible, and broadly effective products.","Laramie, WY",www.unlocked.bio
618,UpContent,22-Jan-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding in a combination of equity and convertible debt from Forefront Venture Partners, Innovation Works and Tri State Angel Investment Group on January 22, 2024.","Athens Ohio Investment Alliance, Audrey's Kitchen, Beni Venture Capital, Forefront Venture Partners, Innovation Works, Mountain State Capital, North 50 Venture Capital, Reinforced Ventures, Tri State Angel Investment Group",,Business/Productivity Software,"Developer of an intelligent content discovery platform designed to help marketing, sales, and human resource teams discover and share relevant content with audiences. The company's platform comes with features such as breadth, depth, collaboration, compliance, automation, and integration, enabling organizations to cut through this noise and serve those who look to them for insight.","Pittsburgh, PA",www.upcontent.com
619,UtureAI,13-Feb-2024,Seed Round,Seed Round,,,Announced/In Progress,Privately Held (backing),Accelerator/Incubator Backed,"The company is in the process of raising seed funding on February 13, 2024. The deal plans to close by the third quaters of 2024. Previosuly, the company joined Pixel Incubator on an undisclosed date.",Pixel Incubator,,Application Software,"Developer of AI(Artificial intelligence)-powered assistant platforms designed for transforming the landscape of online shopping. The company's platform offers transaction automation up to AI standards, ensuring fluid interactions between consumers and vendors, enhances experience by offering a virtual payment method that not only minimizes fraud risks but also grants users the ability to easily cancel transactions or request refunds, aligning with their preferences, thereby enabling businesses to deliver a comprehensive solution that simplifies and secures the online shopping process.","El Monte, CA",www.uture.ai
620,Varlo,03-Jan-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding in a deal led by Path Ahead Ventures, Todd Leff and John Cassimatis on January 3, 2024. Other undisclosed investors also participated in the round. The funds will be used to fuel innovation by expanding product lines, and reaching a broader audience that shares the company's ethos of pushing boundaries and pursuing excellence. Previously, the company raised $600,000 of angel funding in the form of convertible note from undisclosed investors on December 21, 2023. Previously, the company joined REI Co-op as part of the 2023 Navigate accelerator program on June 23, 2023 and received $25,000 in funding in the form of grant.","John Cassimatis, Path Ahead Ventures, R/GA Ventures, REI Co-op, Todd Leff",,Clothing,"Operator of an online sports apparel store intended to provide clothing for athletes. The company focuses on design and innovation engineering durable products in the multi-sport space, enabling sports enthusiasts to get all their needful athletic clothing in one place.","Cherry Hill, NJ",www.varlosports.com
621,Veroskills,06-Feb-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding from Crescent Ridge, Beyond Angel Network and Alumni Ventures on February 6, 2024.","Alumni Ventures, Beyond Angel Network, Crescent Ridge, Eagle Venture Fund",,Educational Software,"Developer of an ed-tech platform designed to teach people how to code. The company's platform offers different video tutorials, and courses related to different programming languages, as well as provide recruiters to observe and manage students' progress along with their development journeys hire with a click-of-a-button, enabling students to learn appropriate skills, and hiring managers to get proper candidates based on skills.","Birmingham, AL",www.veroskills.com
622,Via BioFuels,20-Mar-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding in the form of SAFE notes from SOSV and IndieBio on March 20, 2024.","Greentown Labs, IndieBio, SOSV",,Energy Production,"Producer of synthetic aromatic, 3-Methylanisole intended to promote proprietary engineered yeast strains producing energy. The company engages in producing a scalable, bio-organism-sourced aromatic of high purity where 3-MA can be transformed into other valuable compounds, enhancing its market potential and investment appeal, enabling consumers to replace traditional fuels without blending restrictions.","Houston, TX",www.viabiofuels.com
623,ViewMind,,Later Stage VC,Series A,,,Upcoming,Privately Held (backing),Venture Capital-Backed,"The company is reportedly seeking Series A venture funding from undisclosed investors. It is planning to raise the fund in the 2nd half of 2024. Previously, the company raised $4 million of seed funding from undisclosed investors on January 2, 2024.","Cites Startups, Creative Destruction Lab, Fit 4 Start, iTHINK Financial, iThink VC, Luxembourg Ministry of the Economy, Luxinnovation, R3i Ventures, Verge HealthTech Fund, Wealthing VC Club, Wealthing VC Fund",,Diagnostic Equipment,"Developer of a health assessment device designed to predict the onset of Alzheimer's disease. The company's device conducts a non-invasive and standardized test to analyze the symptoms with their algorithms by quantifying the cognitive performance of a person, analyzing executive, attentional and memory functions and detecting minor changes in their performance through short periods, enabling health professionals to diagnose the neurocognitive disorders.","New York, NY",www.viewmind.com
624,Vitiprints,01-Jan-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,The company raised an undisclosed amount of pre-seed funding from ACL Ventures Partner in approximately January 2024.,ACL Ventures Partner,,Other Commercial Services,"Developer of a customizable print technology platform intended to provide a printable delivery system that transforms 3-D products into a dissolvable print medium. The company's technology can be utilized to create 2D printed edible and non-edible products ranging from pills, supplements, and beverages to eliminate any need for plastic packaging or components, enabling clients to reduce reliance on plastic.","New York, NY",www.vitiprints.com
625,Wald.ai,22-Feb-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding in a deal led by SVQUAD on February 22, 2024. Entrada Ventures and Inventus Capital Partners also participated in the round.","Entrada Ventures, Inventus Capital Partners, SVQUAD",,Network Management Software,"Operator of a data protection platform intended to prevent data leaks. The company offers a data protection system to safeguard company-sensitive data, comprehensive data security, and full regulatory compliance, enabling clients to secure data effortlessly.","Palo Alto, CA",www.wald.ai
626,Waltz (Financial Software),01-Jan-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,The company raised an undisclosed amount of seed funding from TLV Partners in approximately January 2024. RE Angels also participated in this round.,"RE Angels, TLV Partners",,Financial Software,"Operator of a financial technology platform intended for real estate investing. The company's platform provides a clean, paperless, app-like experience, enabling customers to make the whole buying process into a few clicks.","Miami, FL",www.getwaltz.com
627,Wheelprice,29-Mar-2024,Seed Round,Seed Round,,,Announced/In Progress,Privately Held (backing),Venture Capital-Backed,"The company is in the process of raising $1.3 million of seed funding on March 29, 2024. Previously, the company joined Techstars as a part of Techstars Atlanta powered by Cox Enterprises Program on July 24, 2023 and received $120,000 in funding.","NC Idea, Techstars",,Automotive,"Developer of an online marketplace designed to connect car enthusiasts to buy and sell automotive parts. The company's platform allows users to search for wheels by maker and model number and filter results by price, location, and condition, enabling users to find the perfect wheels for their car at an affordable price.","Charlotte, NC",www.wheelprice.com
628,Women's Elite Rugby,12-Apr-2024,Seed Round,Seed Round,,,Announced/In Progress,Privately Held (backing),Venture Capital-Backed,"The company is in the process of raising pre-seed funding on April 12, 2024.",,,"Movies, Music and Entertainment",Operator of a professional women's rugby league intended to launch the first professional women's rugby league in the United States.,,www.womenseliterugby.us
629,Wyndo,22-Mar-2024,Seed Round,Seed Round,,,Announced/In Progress,Privately Held (no backing),Pending Transaction (VC),"The company is in the process of raising seed funding from Capital Q Ventures and other undisclosed investors on March 22, 2024.",Capital Q Ventures,,Media and Information Services (B2B),"Developer of an e-commerce platform designed to provide the convenience of physical stores. The company's platform allows one to know the goods and services near the residency, enabling small business retailer with local visibility of their inventory, increased foot traffic of their store, and revenue growth.","Winter Park, FL",www.wyndoshop.com
630,XN Health,20-Feb-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding in the form of convertible debt from HAX and SOSV on February 20, 2024.","Creative Destruction Lab, HAX, SOSV, Texas A&M New Ventures Competition, Texas Medical Center, UCeed",,Therapeutic Devices,"Developer of a healthcare device intended to cure the harm caused during the process of mechanical ventilation. The company engages in the development of medical devices and software, enabling patients to get help from disease ventilator-induced diaphragm dysfunction which may occur during the necessary treatment of mechanical ventilation.","Houston, TX",www.xn-health.com
631,YogaPetz,08-Feb-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding from Animoca Brands, Newman Capital and Soul Capital on February 8, 2024. Other undisclosed investors also took part in the round. The funds will be used for revolutionizing the health industry with AI.","Animoca Brands, Newman Capital, Soul Capital",,Other Healthcare Technology Systems,"Provider of a holistic wellness platform intended to incentivize users to prioritize their well-being. The company offers token-based rewards for engaging in various health activities, personalized AI guidance, and exclusive NFT collectibles, enabling individuals to enhance their mind-body health journey while overcoming barriers to access and fostering sustained engagement.","San Francisco, CA",www.yogapetz.com
632,Young Protocol,02-Apr-2024,Seed Round,Seed Round,,8.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding in a deal led by Eureka Meta Capital on April 2, 2024, putting the company's post-valuation at $8 million. Other undisclosed investors also participated in the round.",Eureka Meta Capital,,Financial Software,"Developer of a multi-chain socialFi platform intended to reduce interaction costs and enhance the social experience. The company's platform people users interact with projects on different public chains with a single click through its Multichain and Bridge domain technology, enabling users to connect and interact freely.","San Francisco, CA",
633,zezebaebae,08-Mar-2024,Seed Round,Seed Round,,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an undisclosed amount of seed funding from Spring Camp on March 8, 2024. The funds will be used to enhance data-driven, locally-friendly marketing through the production of infant content, the building of a mom influencer network, and the operation of SNS channels.",Spring Camp,,Specialty Retail,"Developer of a specialized infant marketplace intended to offer baby products online. The company's marketplace sells products including baby bottles, baby cups, steel food trays and baby clothing, enabling parents to buy quality products for their infants.","Seoul, South Korea",www.zezebaebae.com
634,ArcSpan Technologies,21-Mar-2024,Seed Round,Seed Round,0.78,20.78,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an additional $782,353 of Seed funding from undisclosed investors on March 21, 2024, putting the company's pre-money valuation at $20 million.","Aperiam Ventures, Christopher Lien, Curtis Brockelman, Eric Matlick, Frans Vermeulen, Geoffrey Judge, Grant Gregory, Jim Warner, Jonah Goodhart, Matthew Bostock, Matthew Greitzer, Noah Goodhart, Peter Naylor, Sarah Baehr, Tina Daniels",,Business/Productivity Software,"Developer of a digital ad-revenue management platform intended for publishers, retail media, and data owners. The company's platform offers the required resources needed to plan, build, and maintain high-performance audience-targeted advertising and marketing technology also providing insights and data, enabling companies to solve critical revenue operations roadblocks to maximize clients' addressable audience.","New York, NY",www.arcspan.com
